=== Results Summary ===

sf_274                magic=465.46  hbm=466.16
ex1_226               magic=5  hbm=5
misex1_241            magic=2637.48  hbm=2642.62
4gt12-v1_89           magic=140.12  hbm=140.12
C17_204               magic=262.64  hbm=262.1
3_17_13               magic=25.14  hbm=25.26
rd53_138              magic=69.04  hbm=67.98
ham15_107             magic=4830.26  hbm=4838.66
4gt5_76               magic=58.86  hbm=58.56
sym9_193              magic=None  hbm=None
cnt3-5_180            magic=219.06  hbm=218.54
4gt4-v0_73            magic=242.98  hbm=244.46
decod24-v1_41         magic=51.3  hbm=50.08
4mod7-v0_94           magic=98.24  hbm=98.14
rd32-v0_66            magic=30  hbm=30
alu-v0_26             magic=51.22  hbm=50.92
sys6-v0_111           magic=98.38  hbm=98.16
qe_qft_5              magic=29.24  hbm=29.42
qiskit-alu-v0_26      magic=51.32  hbm=51.2
ising_model_10        magic=39.74  hbm=39.26
cm42a_207             magic=961.16  hbm=954.32
4gt4-v0_80            magic=110.48  hbm=110.56
alu-v2_31             magic=265.08  hbm=265.98
4mod5-v0_18           magic=41.88  hbm=42.16
urf1_149              magic=None  hbm=None
radd_250              magic=1784.98  hbm=1780.26
one-two-three-v3_101  magic=41.48  hbm=41.42
rd53_251              magic=745.04  hbm=742.9
mini_alu_305          magic=81.44  hbm=80.9
one-two-three-v0_98   magic=89.02  hbm=88.94
dist_223              magic=None  hbm=None
ising_model_16        magic=57.02  hbm=63.6
4_49_16               magic=133.66  hbm=132.74
sym10_262             magic=None  hbm=None
clip_206              magic=None  hbm=None
ex2_227               magic=356.06  hbm=355.2
4gt4-v0_78            magic=146.18  hbm=146.34
sao2_257              magic=None  hbm=None
urf2_277              magic=12121.5  hbm=12176
ising_model_13        magic=47.26  hbm=46.78
alu-bdd_288           magic=49.9  hbm=49.92
decod24-v0_38         magic=44  hbm=44
4gt12-v0_86           magic=153.48  hbm=153.06
sym9_146              magic=150.92  hbm=154.26
alu-v4_37             magic=23.22  hbm=23.14
9symml_195            magic=None  hbm=None
one-two-three-v0_97   magic=173.74  hbm=174.06
mlp4_245              magic=10287.78  hbm=10256.54
4gt11_84              magic=16  hbm=16
xor5_254              magic=5  hbm=5
mod10_176             magic=105.46  hbm=105.26
f2_232                magic=684.4  hbm=683.32
one-two-three-v2_100  magic=42.3  hbm=42.18
decod24-v3_45         magic=87.64  hbm=88.08
4mod7-v1_96           magic=97.76  hbm=96.56
4gt5_77               magic=77.56  hbm=76.68
rd53_131              magic=259.36  hbm=260.6
urf4_187              magic=None  hbm=None
alu-v2_30             magic=309.5  hbm=310.32
mod5adder_127         magic=328.4  hbm=330.46
hwb4_49               magic=144.86  hbm=143.9
mod5mils_65           magic=20.84  hbm=20.9
4mod5-v1_24           magic=21.54  hbm=21.28
4gt4-v0_79            magic=142.24  hbm=142.06
mod5d2_64             magic=33.1  hbm=33.22
rd53_130              magic=582.68  hbm=581.16
qe_qft_4              magic=20.44  hbm=20.4
cm85a_209             magic=6307.98  hbm=6297.26
rd73_140              magic=111.5  hbm=110.96
hwb9_119              magic=None  hbm=None
alu-v2_33             magic=21.88  hbm=21.9
4gt10-v1_81           magic=90.2  hbm=89.88
rd84_142              magic=141.84  hbm=141.16
squar5_261            magic=1082.18  hbm=1081.56
sqrt8_260             magic=1671.14  hbm=1672.3
urf2_152              magic=None  hbm=None
