Benchmark,magic,hbmA,hbmB_shared2,hbmC_shared2,hbmB_shared4,hbmC_shared4
0410184_169,105,92,105,93,109,92
3_17_13,26,21,22,22,21,22
4_49_16,132,117,127,120,129,118
4gt10-v1_81,89,78,81,84,86,79
4gt11_83,16,16,16,16,16,16
4gt11_84,16,10,16,12,16,10
4gt12-v0_86,152,126,151,128,153,127
4gt12-v0_87,146,122,148,127,152,123
4gt12-v0_88,123,101,108,103,116,101
4gt12-v1_89,148,116,131,122,142,116
4gt13-v1_93,41,35,39,39,41,35
4gt13_90,71,62,64,65,71,62
4gt13_91,67,58,61,60,61,58
4gt13_92,41,34,38,36,40,34
4gt4-v0_72,150,125,160,129,150,128
4gt4-v0_73,237,208,237,214,237,208
4gt4-v0_78,145,127,152,129,143,127
4gt4-v0_79,142,122,143,125,140,123
4gt4-v0_80,102,93,102,95,105,94
4gt4-v1_74,166,142,169,151,155,144
4gt5_76,60,52,58,52,59,52
4gt5_77,71,67,79,68,70,67
4mod5-bdd_287,39,39,39,39,39,39
4mod5-v0_18,42,39,40,41,42,39
4mod5-v0_19,21,20,20,20,22,20
4mod5-v0_20,12,11,12,11,12,11
4mod5-v1_22,14,12,12,12,12,12
4mod5-v1_23,40,38,42,41,42,38
4mod5-v1_24,22,19,23,20,22,20
4mod7-v0_94,96,86,93,90,94,88
4mod7-v1_96,101,85,88,90,89,85
9symml_195,18911,17123,18705,17556,18180,17137
C17_204,272,229,263,239,257,229
adr4_197,1868,1657,1777,1708,1821,1657
aj-e11_165,92,81,87,84,85,81
alu-bdd_288,48,45,49,46,48,45
alu-v0_26,53,45,45,46,47,46
alu-v0_27,21,19,20,20,20,19
alu-v1_28,23,20,21,20,22,20
alu-v1_29,22,19,20,20,22,19
alu-v2_30,310,261,304,269,314,263
alu-v2_31,258,228,238,232,239,229
alu-v2_32,96,84,94,87,94,89
alu-v2_33,25,19,23,19,21,19
alu-v3_34,31,29,30,29,31,29
alu-v3_35,22,20,23,20,21,20
alu-v4_36,71,61,70,64,67,62
alu-v4_37,24,20,23,20,21,20
clip_206,18122,15998,17661,16523,17427,16047
cm152a_212,688,613,717,623,665,614
cm42a_207,932,842,890,857,899,842
