Benchmark,AvgParallelism,MaxParallelism,Depth,NumQubits
0410184_169,1.8571428571428572,5,104,16
3_17_13,1.8571428571428572,3,22,16
4_49_16,1.7692307692307692,4,125,16
4gt10-v1_81,1.6984126984126984,3,84,16
4gt11_83,1.2857142857142858,2,16,16
4gt11_84,1.5714285714285714,2,11,16
4gt12-v0_86,1.9904761904761905,4,135,16
4gt12-v0_87,1.9904761904761905,4,131,16
4gt12-v0_88,1.9285714285714286,3,108,16
4gt12-v1_89,1.8979591836734695,4,130,16
4gt13-v1_93,1.7857142857142858,3,39,16
4gt13_90,1.619047619047619,3,65,16
4gt13_91,1.619047619047619,3,61,16
4gt13_92,1.7857142857142858,3,38,16
4gt4-v0_72,2.0535714285714284,4,137,16
4gt4-v0_73,1.8214285714285714,3,227,16
4gt4-v0_78,1.8571428571428572,3,137,16
4gt4-v0_79,1.8571428571428572,3,132,16
4gt4-v0_80,1.8831168831168832,3,101,16
4gt4-v1_74,1.8571428571428572,3,154,16
4gt5_76,1.5714285714285714,3,56,16
4gt5_77,1.7857142857142858,3,74,16
4mod5-bdd_287,1.5,2,41,16
4mod5-v0_18,1.7857142857142858,3,40,16
4mod5-v0_19,1.4285714285714286,2,21,16
4mod5-v0_20,1.5714285714285714,2,12,16
4mod5-v1_22,1.5714285714285714,2,12,16
4mod5-v1_23,1.7857142857142858,4,41,16
4mod5-v1_24,1.5714285714285714,2,21,16
4mod7-v0_94,1.8857142857142857,4,92,16
4mod7-v1_96,1.8285714285714285,4,94,16
9symml_195,1.9015231092436975,9,19235,16
C17_204,1.896551724137931,4,253,16
adr4_197,1.9532710280373833,8,1839,16
aj-e11_165,1.6984126984126984,3,86,16
alu-bdd_288,1.6285714285714286,3,48,16
alu-v0_26,1.6285714285714286,3,49,16
alu-v0_27,1.7142857142857142,3,21,16
alu-v1_28,1.7142857142857142,3,22,16
alu-v1_29,1.5714285714285714,2,22,16
alu-v2_30,1.7465437788018434,3,285,16
alu-v2_31,1.7040816326530612,3,255,16
alu-v2_32,1.8,4,92,16
alu-v2_33,1.7142857142857142,3,22,16
alu-v3_34,1.4761904761904763,2,30,16
alu-v3_35,1.7142857142857142,3,22,16
alu-v4_36,1.8979591836734695,4,66,16
alu-v4_37,1.7142857142857142,3,22,16
clip_206,2.0066350710900474,9,17879,16
cm152a_212,2.0225563909774436,11,684,16
cm42a_207,2.031168831168831,9,940,16
cm82a_208,2.0,5,337,16
cm85a_209,1.868378812199037,8,6374,16
cnt3-5_179,3.057142857142857,6,61,16
cnt3-5_180,2.8095238095238093,9,209,16
co14_215,2.2604591836734693,14,8570,16
con1_216,1.9297820823244551,4,508,16
cycle10_2_110,1.8775510204081634,10,3386,16
dc1_220,1.9603841536614646,7,1038,16
dc2_222,1.8765133171912833,8,5242,16
decod24-bdd_294,1.5714285714285714,2,40,16
decod24-enable_126,1.7891156462585034,5,190,16
decod24-v0_38,1.5714285714285714,2,30,16
decod24-v1_41,1.7428571428571429,3,50,16
decod24-v2_43,1.5714285714285714,2,30,16
decod24-v3_45,1.6984126984126984,3,84,16
dist_223,2.0518714646768563,7,19694,16
ex-1_166,1.2857142857142858,2,12,16
ex1_226,0.0,0,5,16
ex2_227,1.879120879120879,6,355,16
ex3_229,1.9028571428571428,4,226,16
f2_232,1.8495238095238096,4,668,16
graycode6_47,0.0,0,5,16
ground_state_estimation_10,0.0,0,245614,16
ham15_107,1.9336828309305374,13,4819,16
ham3_102,1.5714285714285714,2,13,16
ham7_104,1.9172932330827068,4,185,16
hwb4_49,1.653061224489796,3,134,16
hwb5_53,1.7700348432055748,3,758,16
hwb6_56,1.82236617797477,5,3736,16
hwb7_59,1.8785432701332834,6,13437,16
hwb8_113,1.8332124728063814,7,38717,16
hwb9_119,1.838102575390711,7,116199,16
inc_237,1.8964177816141563,10,5863,16
ising_model_10,0.0,0,70,16
ising_model_13,0.0,0,71,16
ising_model_16,0.0,0,71,16
life_238,1.8775510204081634,7,12511,16
majority_239,1.9022556390977443,5,344,16
max46_240,2.027355623100304,8,14257,16
miller_11,1.4761904761904763,2,29,16
mini-alu_167,1.7936507936507937,3,162,16
mini_alu_305,2.4,4,69,16
misex1_241,1.898095238095238,8,2676,16
mlp4_245,1.9047619047619047,8,10328,16
mod10_171,1.7809523809523808,3,139,16
mod10_176,1.8571428571428572,4,101,16
mod5adder_127,1.8487394957983194,4,302,16
mod5d1_63,1.2857142857142858,2,13,16
mod5d2_64,1.7619047619047619,3,32,16
mod5mils_65,1.4285714285714286,2,21,16
mod8-10_177,1.8783068783068784,3,251,16
mod8-10_178,1.9523809523809523,3,193,16
one-two-three-v0_97,1.8253968253968254,4,163,16
one-two-three-v0_98,1.8888888888888888,5,82,16
one-two-three-v1_99,1.7857142857142858,4,76,16
one-two-three-v2_100,1.4285714285714286,2,40,16
one-two-three-v3_101,1.5,3,40,16
plus63mod4096_163,1.8496502254891516,8,72246,16
plus63mod8192_164,1.8549439272887196,7,105142,16
pm1_249,2.031168831168831,9,940,16
qe_qft_4,0.0,0,36,5
qe_qft_5,0.0,0,51,5
qft_10,0.0,0,63,16
qft_16,0.0,0,105,16
qft_20,0.0,0,149,20
qiskit-3_17_13,1.8571428571428572,3,22,16
qiskit-alu-v0_26,1.6285714285714286,3,49,16
radd_250,1.9042857142857144,8,1781,16
rd32-v0_66,1.8571428571428572,3,20,16
rd32-v1_68,1.8571428571428572,3,21,16
rd32_270,1.6857142857142857,3,47,16
rd53_130,1.8571428571428572,4,569,16
rd53_131,1.846938775510204,6,261,16
rd53_133,1.8888888888888888,6,327,16
rd53_135,1.8888888888888888,4,159,16
rd53_138,2.4285714285714284,5,56,16
rd53_251,1.9071428571428573,4,712,16
